"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",54,19081
"2",2,"Vielen Dank, Herr Kollege Schneider.","","","01",54,19081
"3",3," — Als nachste Rednerin erhält das Wort die Kollegin Heike Baehrens, SPD-Fraktion.","","","02",54,19081
"4",4," Heike Baehrens:","","","03",54,19081
"5",5,"Herr Präsident! Sehr geehrte Damen und Herren! Liebe Kolleginnen und Kollegen! Gegensätzlicher könnten die Anträge ja nicht sein:","","","04",54,19081
"6",6," Während Die Linke fordert, die Milliardenrücklagen der privaten Pflegeversicherung zu nutzen, um die soziale Pflegeversicherung zu stärken, fordert die FDP unter der Überschrift „Mehr Ehrlichkeit in der Pflegedebatte“ quasi ein Konjunkturprogramm für die private Versicherungswirtschaft.","","","05",54,19081
"7",7," Spannende Debatten zeichnen sich ab.","","","06",54,19081
"8",8,"Meine Sympathie liegt dort, wo wir ganz konkret die Pflege heute verbessern können.","","","07",54,19081
"9",9," Ehrlichkeit in der Pflegedebatte, liebe Kolleginnen und Kollegen von der FDP, brauchen wir tatsächlich, aber in einem anderen Sinne, als Sie es uns mit Ihrem Antrag nahelegen.","","","08",54,19081
"10",10," Ich erinnere an die letzte Pflegedebatte und an Ihre, Frau Westig, falsche Behauptung, mit dem Pflegepersonal-Stärkungsgesetz sei nichts für die ambulante Pflege getan worden.","","","09",54,19081
"11",11," Das war unehrlich; denn das Personal in der ambulanten Pflege haben wir gestärkt, indem wir dafür gesorgt haben, dass endlich Tarifgehälter auch in der häuslichen Krankenpflege anerkannt werden.","","","10",54,19081
"12",12," Nun fordern gerade Sie Ehrlichkeit in der Debatte.","","","11",54,19081
"13",13," Sie schreiben in Ihrem Antrag - ich zitiere -:","","","12",54,19081
"14",14,"Die private Pflegepflichtversicherung zeigt aufgrund ihres kapitalgedeckten Finanzierungssystems mit Bildung von Altersrückstellungen, dass Generationengerechtigkeit auch in der Pflege funktionieren kann.","","","13",54,19081
"15",15,"Was für ein Unsinn, noch dazu in Zeiten von Niedrigzinsen! Mit ein paar wenigen Kennzahlen möchte ich Sie gern zu mehr Ehrlichkeit in der Pflegedebatte ermuntern:","","","14",54,19081
"16",16," Gute 9 Millionen Versicherte in der privaten Pflegeversicherung haben über 34 Milliarden Euro Rücklagen angesammelt, Geld also, das nicht für die Verbesserung der Pflege heute eingesetzt wird.","","","15",54,19081
"17",17," Und woran liegt das? Das beitragspflichtige Einkommen der Privatversicherten liegt um 60 Prozent über dem der gesetzlich Versicherten.","","","16",54,19081
"18",18," DaHeike Baehrensentzieht sich eine ganz große Gruppe der Solidarität in unserer Gesellschaft.","","","17",54,19081
"19",19," Und während in der normalen Pflegeversicherung rund 350 Euro je Versicherten im Jahr ausgegeben werden, belaufen sich die Leistungsausgaben der privaten Pflegeversicherung lediglich auf 90 Euro pro Jahr.","","","18",54,19081
"20",20," Selbst wenn man die Beihilfeleistungen für Beamte mitrechnet, erhalten die gesetzlich Versicherten immer noch etwa dreimal mehr Leistungen als die Privatversicherten.","","","19",54,19081
"21",21," — Die private Pflegeversicherung hat Versicherte mit wesentlich höherem Einkommen und einem wesentlich geringeren Krankheits- und Pflegerisiko.","","","20",54,19081
"22",22," Während also 10 Prozent der Versicherten Geld auf die hohe Kante legen, sollen sich 90 Prozent der Versicherten um ihre Pflege Sorgen machen? Das kann nicht gerecht sein.","","","21",54,19081
"23",23," Wer es mit der Generationengerechtigkeit in der Pflege ehrlich meint und wer eine ehrliche Pflegedebatte will, der muss sich klar dazu bekennen:","","","22",54,19081
"24",24," Alle Menschen haben ein Recht auf würdevolle Pflege, egal welchen sozialen, beruflichen, finanziellen Hintergrund sie haben.","","","23",54,19081
"25",25," — Darum muss die soziale Pflegeversicherung auf eine solide Grundlage gestellt werden.","","","24",54,19081
"26",26," Die FDP schreibt es in ihrem Antrag selbst:","","","25",54,19081
"27",27," Gesetzliche und private Pflegeversicherung haben gleiche Leistungen, gleiche Zugangsvoraussetzungen.","","","26",54,19081
"28",28," Darum sollten Sie den nächsten Denkschritt auch noch gehen und sich dafür aussprechen, das Doppelsystem in der Pflegeversicherung abzuschaffen.","","","27",54,19081
"29",29," Wir brauchen eine gesetzliche Pflegeversicherung, in die alle Bürgerinnen und Bürger einzahlen und die so leistungsfähig ist, dass niemand mehr Angst haben muss, mit den Kosten für die Pflege überfordert zu werden.","","","28",54,19081
"30",30,"Wie war das noch mit dem letzten Versuchsballon der FDP zur privaten Pflegevorsorge? Und wohin wechselte der Kurzzeit-Gesundheitsminister der FDP? Natürlich zu einem der größten Anbieter der Pflege-Bahr-Policen.","","","29",54,19081
"31",31," Nein, auf solche Klientelpolitik für Versicherer werden wir als SPD uns nicht einlassen.","","","30",54,19081
"32",32,"Ja, wir brauchen eine ehrliche Pflegedebatte.","","","31",54,19081
"33",33," Ehrlich ist es, zu sagen:","","","32",54,19081
"34",34," Gute Pflege kostet.","","","33",54,19081
"35",35," Eine gute Pflege für alle Menschen in unserer Gesellschaft können wir uns nur gemeinsam und solidarisch leisten.","","","34",54,19081
"36",36,"Vielen Dank.
Vizeprasident Wolfgang ","","","35",54,19081
