"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",54,19110
"2",2," Die nächste Rednerin ist für die Fraktion Die Linke die Kollegin Amira Mohamed Ali.","","","01",54,19110
"3",3," Amira Mohamed Ali:","","","02",54,19110
"4",4,"Sehr geehrter Herr Präsident! Kolleginnen und Kollegen! Liebe Gäste! Frau Klöckner, Ihr Haushaltsplan ist ganz nach dem Geschmack der Agrar- und Lebensmittelindustrie, weil er nichts an dem bestehenden falschen System verändert.","","","03",54,19110
"5",5," Er ist gleichzeitig Ihre Halbzeitbilanz, und die sieht düster aus, vor allem für die Verbraucherinnen und Verbraucher, die verantwortungsvollen Landwirte und die Tiere in den Megaställen der industriellen Massentierhaltung.","","","04",54,19110
"6",6,"Gerade einmal 4 Prozent des Gesamtbudgets sind für den gesundheitlichen Verbraucherschutz und gesunde Ernährung vorgesehen.","","","05",54,19110
"7",7," Dabei muss hier ganz dringend gehandelt werden.","","","06",54,19110
"8",8," Ernährungsbedingte Krankheiten wie Diabetes Typ 2, sogenannter Altersdiabetes, nehmen zu, sogar bei Kindern.","","","07",54,19110
"9",9," Eine transparente Kennzeichnung, zum Beispiel die Lebensmittelampel, wäre ein wichtiger erster Schritt; aber auch da stehen Sie nach wie vor auf der Bremse.","","","08",54,19110
"10",10," Ich denke, dass Ihnen da mal wieder die Lebensmittelkonzerne im Nacken sitzen.","","","09",54,19110
"11",11," Ihr freiwilliges Tierwohllabel, das Sie mit 20 Millionen Euro pro Jahr fördern wollen, verdient den Namen nicht.","","","10",54,19110
"12",12," Die Kriterien der Einstiegsstufe, zum Beispiel ein paar Zentimeter mehr Platz im Stall, sind lächerlich gering.","","","11",54,19110
"13",13," Fleisch aus solch einer Produktion mit dem Label ,,Tierwohl“ auszuzeichnen, ist Verbrauchertäuschung.","","","12",54,19110
"14",14," Und solange alles nur freiwillig geschehen soll, wird sich nichts verändern.","","","13",54,19110
"15",15," Wir brauchen verbindliche, wesentlich höhere Standards:","","","14",54,19110
"16",16," deutlich mehr Platz im Stall, Freilaufmöglichkeiten, keine betäubungslose Kastration, kein Kükenschreddern, keine qualvollen, überlangen Tiertransporte.","","","15",54,19110
"17",17," Und diese Standards müssen selbstverständlich auch durchgesetzt werden.","","","16",54,19110
"18",18," Solange die Betriebe, wie aktuell, im Schnitt nur alle 17 Jahre und nur 1 Prozent der Tiertransporter kontrolliert werden, nützen die besten Label und Gesetze nichts.","","","17",54,19110
"19",19,"Amira Mohamed Ali Wir brauchen zuverlässige Kontrollen, die die ständige Einhaltung der Regeln sicherstellen.","","","18",54,19110
"20",20,"Seit Jahren produziert die Agrarindustrie immer größere Umweltprobleme.","","","19",54,19110
"21",21," Sie leidet unter dem Klimawandel, den sie aber zum Teil selbst mit verursacht, ebenso wie das dramatische Insektensterben und die antibiotikaresistenten Keime.","","","20",54,19110
"22",22," Und sie ist verantwortlich für die Belastung des Grundwassers mit giftigem Nitrat.","","","21",54,19110
"23",23," Mit diesem Haushalt wird sich daran nichts grundlegend ändern, und das finden wir einfach unverantwortlich.","","","22",54,19110
"24",24," Die EU droht jetzt mit Strafzahlungen in Höhe von 850 000 Euro pro Tag, wenn die Nitratbelastung des Grundwassers so weitergeht.","","","23",54,19110
"25",25," 850 000 Euro pro Tag, die aus Steuergeldern fällig werden! Und weil die Agrarindustrie Druck macht, weigern Sie sich, an die Ursache des Gülleproblems heranzugehen:","","","24",54,19110
"26",26," Wir brauchen weniger Tiere in den Ställen.","","","25",54,19110
"27",27," Fragen Sie die große Mehrheit der Bevölkerung! Die sagt Ihnen:","","","26",54,19110
"28",28," Tierfabriken, Schlachtfabriken, Glyphosat und Co auf den Feldern und Nitrat im Grundwasser durch die Unmengen von Gülle wollen wir nicht.","","","27",54,19110
"29",29," Man muss an dieses System heran, ein System, das aktuell die Landwirte, die nachhaltig wirtschaften, verdrängt und diejenigen fördert, die Raubbau an der Natur betreiben.","","","28",54,19110
"30",30," Es sollte genau andersherum sein.","","","29",54,19110
"31",31," Das Gegenargument ist immer das gleiche:","","","30",54,19110
"32",32," Angeblich wollen die Verbraucher diese Landwirtschaft; denn sie kaufen ja die Produkte in den Supermärkten.","","","31",54,19110
"33",33," — Auch Sie, Frau Klöckner, haben das gerade wieder gesagt.","","","32",54,19110
"34",34," Und ja, es stimmt, wir alle müssen überlegen, wie viel Fleisch wir essen und was es uns wert ist.","","","33",54,19110
"35",35," Aber es sind nicht die Verbraucher, die das billige Fleisch in die Regale legen, sondern diejenigen, die große Profite durch die industrielle Massenproduktion machen.","","","34",54,19110
"36",36," Diese Verantwortung können Sie nicht länger auf die Verbraucher abwälzen.","","","35",54,19110
"37",37," Ja, Frau Klöckner, das wird Ihnen jetzt wehtun, aber die Kosten für die Neuausrichtung der Agrarpolitik sollen nach unserer Vorstellung vor allem diejenigen tragen, die jahrelang große Profite mit diesem System eingefahren haben.","","","36",54,19110
"38",38,"Auch wenn das möglicherweise bedeutet, dass Clemens Tönnies dann auf seine nächste Jacht verzichten muss.","","","37",54,19110
"39",39,"Wenn Sie endlich den Mut aufbringen, die mächtigen Akteure der Agrar- und Lebensmittelindustrie in die Verantwortung zu nehmen, dann ist auch Die Linke an Ihrer Seite.","","","38",54,19110
"40",40," Bei diesem Weiter-so machen wir aber nicht mit.","","","39",54,19110
"41",41,"Danke.","","","40",54,19110
"42",42,"Vizeprasident Dr.
 Hans-Peter ","","","41",54,19110
